Programming,Networking,Cybersecurity,DataAnalysis,ProblemSolving,Academic,Career
2,2,1,3,2,3,Software Developer
2,1,1,2,2,2,Software Developer
2,1,2,1,3,3,Software Developer
3,1,2,1,3,3,Software Developer
3,2,2,2,3,3,Software Developer
2,1,2,2,3,2,Software Developer
3,1,1,3,2,2,Software Developer
3,2,2,3,3,3,Software Developer
2,2,1,3,3,3,Software Developer
2,1,1,3,2,2,Software Developer
2,1,2,1,3,3,Software Developer
3,2,1,2,2,3,Software Developer
3,2,1,3,3,2,Software Developer
3,1,1,2,2,3,Software Developer
3,2,2,2,3,3,Software Developer
3,2,2,2,2,2,Software Developer
3,2,2,2,3,3,Software Developer
3,2,1,3,3,3,Software Developer
2,2,1,2,3,2,Software Developer
3,1,2,3,2,3,Software Developer
3,1,2,1,2,2,Software Developer
2,1,1,1,2,2,Software Developer
3,1,2,3,2,2,Software Developer
2,2,1,3,2,2,Software Developer
2,2,1,2,2,3,Software Developer
2,1,2,2,2,3,Software Developer
2,1,2,1,2,3,Software Developer
3,2,1,3,2,2,Software Developer
2,1,2,3,2,2,Software Developer
3,1,1,2,2,2,Software Developer
2,1,1,2,3,3,Software Developer
2,1,1,3,2,3,Software Developer
2,2,2,2,2,2,Software Developer
2,1,1,3,2,3,Software Developer
2,2,1,3,2,3,Software Developer
3,2,2,1,3,2,Software Developer
2,2,2,2,3,2,Software Developer
3,2,1,1,2,3,Software Developer
2,1,1,3,3,2,Software Developer
3,1,1,3,2,3,Software Developer
3,1,1,2,2,2,Software Developer
2,2,2,3,2,3,Software Developer
3,2,2,1,3,2,Software Developer
3,1,2,2,2,3,Software Developer
2,1,1,1,3,2,Software Developer
2,1,2,2,3,3,Software Developer
2,1,2,1,2,2,Software Developer
3,2,1,2,3,3,Software Developer
3,1,2,3,2,3,Software Developer
2,1,1,2,3,2,Software Developer
2,3,3,2,2,2,Network Administrator
2,3,2,1,3,2,Network Administrator
2,3,2,1,3,3,Network Administrator
1,3,2,2,2,2,Network Administrator
1,3,3,1,3,2,Network Administrator
